Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Country
2020-10-31 02:44:38+00:00,1322368856833208321,"Australia will stand by our Pacific family and our Southeast Asian friends. We’re supporting access to safe and effective #COVID19 vaccines for them, as part of a shared recovery for our region from the pandemic. ",ScottMorrisonMP,709,85,Australia
2020-10-30 06:17:24+00:00,1322060014001926144,"This will be life-changing for so many people living in the wider area. 9km of congestion busting beauty, bypassing 21 sets of traffic lights. It also allows drivers to travel between Newcastle and Melbourne without stopping at a traffic light. ",ScottMorrisonMP,763,68,Australia
2020-10-29 21:52:03+00:00,1321932837445017600,"Today as we celebrate #worldteachersday in Australia, can I say a massive thank you to all our teachers for everything you do. You have gone above and beyond during what has been the most extraordinary and challenging year.",ScottMorrisonMP,1453,128,Australia
2020-10-29 20:35:23+00:00,1321913544011493376,Deeply shocked at the abhorrent attack in France. I’ve conveyed Australia’s deep condolences to President @EmmanuelMacron. Our hearts go out to the French people who are dealing with so much during #COVID19. We condemn all acts of terrorism &amp; stand united against these vile acts.,ScottMorrisonMP,2257,235,Australia
2020-10-28 01:48:43+00:00,1321267619630968832,"Great to speak to PM @BorisJohnson last night. 🇦🇺 &amp; the 🇬🇧 have always been great partners &amp; friends, &amp; we continue to work together in fighting #COVID19, creating more trade opportunities by concluding our UK-Australia FTA, &amp; lowering emissions by creating new technologies. ",ScottMorrisonMP,911,119,Australia
2020-10-25 22:36:53+00:00,1320494570765836290,"#Budget2020 invests $86m in new medicines for Australians living with MS &amp; various forms of cancer. As the medical experts recommend medicines, we’ll list them on the PBS. Instead of paying $25,000 a year for this MS medicine, Australians will now pay less than $41 a script. ",ScottMorrisonMP,534,65,Australia
2020-10-23 04:31:35+00:00,1319496667503063041,"We’re steadily and surely ensuring more Australians are getting home. Earlier today, the first of the additional commercial flights facilitated by the government touched down in Darwin from London with 161 Australians on board. Welcome home!

",ScottMorrisonMP,699,89,Australia
2020-10-21 21:00:45+00:00,1319020825987612672,"Listing Lynparza was part of a $376m investment in #Budget2020 to add new medicines to the PBS and will help hundreds of Australian women battling ovarian cancer.  It joins the more than 2,450 new or amended medicine listings our government has made to the PBS since 2013. ",ScottMorrisonMP,216,41,Australia
2020-10-21 20:59:15+00:00,1319020448948994049,"Delighted to see PM Suga’s first overseas visit to our ASEAN friends Indonesia &amp; Vietnam. Japan and Australia share a vision of a free, open and peaceful Indo-Pacific, and ASEAN is at the core of the Indo-Pacific. Look forward to further strengthening our partnership with Japan. ",ScottMorrisonMP,1011,212,Australia
2020-10-17 01:03:12+00:00,1317269901812264962,"This year’s Budget sets out our comeback plan for Australia’s economic recovery from the #COVID19 recession. 

Find out more about this plan on the official Government website below ⬇️

#budget2020 #covidrecovery #jobmaker

",ScottMorrisonMP,292,60,Australia
